step,metric,value
153,mean_token_accuracy,0.5456736758351326
153,epoch,0.3271852445870088
154,loss,1.9623
154,grad_norm,0.6359961628913879
154,learning_rate,0.0003351177730192719
154,mean_token_accuracy,0.544299528002739
154,epoch,0.3293237102379043
155,loss,1.8949
155,grad_norm,0.5780254006385803
155,learning_rate,0.0003340471092077088
155,mean_token_accuracy,0.5549686029553413
155,epoch,0.3314621758887998
156,loss,2.0293
156,grad_norm,0.4851032793521881
156,learning_rate,0.00033297644539614566
156,mean_token_accuracy,0.5249197632074356
156,epoch,0.33360064153969526
157,loss,1.9168
157,grad_norm,0.5113307237625122
157,learning_rate,0.00033190578158458244
157,mean_token_accuracy,0.5546418242156506
157,epoch,0.33573910719059075
158,loss,1.904
158,grad_norm,0.6190714836120605
158,learning_rate,0.0003308351177730193
158,mean_token_accuracy,0.5475100465118885
158,epoch,0.33787757284148623
159,loss,1.8971
159,grad_norm,0.5147324204444885
159,learning_rate,0.0003297644539614561
159,mean_token_accuracy,0.5636114776134491
159,epoch,0.3400160384923817
160,loss,1.989
160,grad_norm,0.5588040947914124
160,learning_rate,0.0003286937901498929
160,mean_token_accuracy,0.550554919987917
160,epoch,0.3421545041432772
161,loss,2.0076
161,grad_norm,0.4783865511417389
161,learning_rate,0.00032762312633832975
161,mean_token_accuracy,0.5304346978664398
161,epoch,0.3442929697941727
162,loss,2.0109
162,grad_norm,0.5348116159439087
162,learning_rate,0.00032655246252676664
162,mean_token_accuracy,0.5414294824004173
162,epoch,0.34643143544506816
163,loss,1.8906
163,grad_norm,0.567550003528595
163,learning_rate,0.00032548179871520343
163,mean_token_accuracy,0.5513345003128052
163,epoch,0.34856990109596364
164,loss,1.9268
164,grad_norm,0.5755837559700012
164,learning_rate,0.00032441113490364027
164,mean_token_accuracy,0.5443798005580902
164,epoch,0.3507083667468591
165,loss,2.0026
165,grad_norm,0.45587605237960815
165,learning_rate,0.0003233404710920771
165,mean_token_accuracy,0.5345082134008408
165,epoch,0.3528468323977546
166,loss,1.9754
166,grad_norm,0.5160022377967834
166,learning_rate,0.0003222698072805139
166,mean_token_accuracy,0.5382172912359238
166,epoch,0.3549852980486501
167,loss,1.939
167,grad_norm,0.5689136385917664
167,learning_rate,0.00032119914346895073
167,mean_token_accuracy,0.5528477430343628
167,epoch,0.35712376369954557
168,loss,1.9551
168,grad_norm,0.5321575999259949
168,learning_rate,0.0003201284796573876
168,mean_token_accuracy,0.53988092020154
168,epoch,0.35926222935044105
169,loss,1.9603
169,grad_norm,0.5316258072853088
169,learning_rate,0.0003190578158458244
169,mean_token_accuracy,0.5395458042621613
169,epoch,0.36140069500133654
170,loss,1.9104
170,grad_norm,0.5361316204071045
